#	type	pattern	pilot	lemma	freq
1	T	N	phoneme	phoneme	298
2	T	N	encoder	encoder	168
3	T	A N	neural network	neural network	131
3	V[s]	A A N	feedforward neural network	feedforward neural network	10
3	V[s]	A A N	convolutional neural networks	convolutional neural network	18
3	V[s]	A A N	recurrent neural network	recurrent neural network	9
3	V[s]	A A N	deep neural networks	deep neural network	8
3	V[s]	N A N	Time-Delay Neural Network	time-delay neural network	2
4	T	N	decoder	decoder	116
5	T	N	vocoder	vocoder	95
6	T	N	corpus	corpus	93
7	T	A N	Deep Voice	deep voice	77
7	V[s]	N A N	multi-speaker Deep Voice	multi-speaker deep voice	3
8	T	N	vector	vector	75
9	T	A N	acoustic model	acoustic model	72
9	V[s]	A A N	context-dependent acoustic models	context-dependent acoustic model	2
9	V[s]	A A N	multilingual acoustic models	multilingual acoustic model	4
9	V[s]	A A N	initial acoustic models	initial acoustic model	2
9	V[s]	A A N	separate acoustic model	separate acoustic model	2
10	T	N	dataset	dataset	71
11	T	N	text-to-speech	text-to-speech	66
12	T	N	convolution	convolution	62
13	T	N	WaveNet	wavenet	57
14	T	N	algorithm	algorithm	56
15	T	N	graphemes	grapheme	51
16	T	N	LSTM	lstm	51
17	T	N N	speech recognition	speech recognition	51
17	V[s]	A N N	multilingual speech recognition	multilingual speech recognition	5
17	V[s]	A N N	monolingual speech recognition	monolingual speech recognition	5
17	V[s]	A N N	automatic speech recognition	automatic speech recognition	9
18	T	N N	training data	training datum	50
18	V[s]	N N N N	speaker encoder training data	speaker encoder training datum	2
18	V[s]	A N N N	low quality training data	low quality training datum	2
19	T	N N	TTS system	tts system	98
19	V[s]	A N N	neural TTS system	neural tts system	18
19	V[s]	N N N	end-to-end TTS systems	end-to-end tts system	3
19	V[s]	N N N	multi-speaker TTS system	multi-speaker tts system	3
19	V[s]	A A N N	HMM-based parametric TTS system	hmm-based parametric tts system	2
19	V[s]	A A N N	parallel neural TTS system	parallel neural tts system	3
19	V[s]	A A N N	recent neural TTS systems	recent neural tts system	2
20	T	N	end-to-end	end-to-end	49
21	T	N	naturalness	naturalness	48
22	T	N	mapping	mapping	47
23	T	N N	TTS model	tts model	46
23	V[s]	N N N	Transformer TTS model	transformer tts model	10
23	V[s]	A N N	neural TTS model	neural tts model	7
23	V[s]	N N N N	autoregressive Transformer TTS model	autoregressive transformer tts model	8
